FID,Shape,name,ORIG_FID,POINT_X,POINT_Y
0,Point,"['Jalan Abdul Wahab Syahrani', 'Jalan P. M. Noor']",0,517027.3541,9950257.173
1,Point,"['Jalan DR. Soetomo', 'Jalan Pahlawan']",1,516526.9332,9946758.95
2,Point,"['Jalan Pangeran Antasari', 'Jalan Slamet Riyadi']",2,514148.8291,9944774.688
3,Point,"['Jalan Untung Suropati', 'K.H. Mas Mansyur']",3,511734.4331,9941150.64
4,Point,"['Jembatan Mahakam Kembar', 'Jalan Slamet Riyadi']",4,513050.6563,9942628.429
5,Point,"['Jembatan Mahkota II', 'Kapten Soedjono AJ', 'Jembatan Achmad Amins']",5,517359.9708,9940848.161
6,Point,Banggeris,6,513427.5558,9945713.717
7,Point,Cipto Mangun Kusumo,7,511423.3452,9940309.002
8,Point,Flyover Air Hitam,8,515385.0867,9947722.318
9,Point,H.M. Ardans,9,513434.5038,9948298.991
10,Point,Jalan Abdul Wahab Syahrani,10,515552.1083,9948807.777
11,Point,Jalan Bhayangkara,11,516159.2987,9945712.083
12,Point,Jalan DR. Soetomo,12,516450.7082,9946825.997
13,Point,Jalan Gajah Mada,13,515267.999,9944594.224
14,Point,Jalan Gunung Cermai,14,515062.499,9944741.285
15,Point,Jalan Gunung Kinibalu,15,515695.7931,9944539.356
16,Point,Jalan H.M. Ardans,16,513430.0642,9948310.011
17,Point,Jalan Insinyur Haji Juanda,17,515381.4901,9947676.579
18,Point,Jalan K.H. Wahid Hasyim I,18,517033.9412,9950154.165
19,Point,Jalan Kadrie Oening,19,515289.5233,9947798.448
20,Point,Jalan Kemakmuran,20,518182.2582,9946908.173
21,Point,Jalan Kemangi,21,512389.2882,9941632.208
22,Point,Jalan Kurnia Makmur,22,511631.6396,9940154.687
23,Point,Jalan Kyai Haji Wahid Hasyim II,23,517128.4889,9950405.465
24,Point,Jalan M.T. Haryono,24,513385.2401,9945840.229
25,Point,Jalan Muso Salim,25,517716.6552,9944806.072
26,Point,Jalan Niaga Timur,26,516818.7564,9944305.824
27,Point,Jalan P. M. Noor,27,517186.8518,9950219.92
28,Point,Jalan Pahlawan,28,516578.8108,9946665.757
29,Point,Jalan Pangeran Antasari,29,514158.6251,9944774.271
30,Point,Jalan Pangeran Suryanata,30,513132.8742,9948622.109
31,Point,Jalan Pelita,31,518167.4424,9946652.064
32,Point,Jalan Poros Samarinda - Balikpapan,32,510547.3912,9934724.838
33,Point,Jalan R. Soeprapto,33,515439.1375,9947780.997
34,Point,Jalan R.E. Martadinata,34,514604.9093,9944755.008
35,Point,Jalan Slamet Riyadi,35,512995.801,9942711.419
36,Point,Jalan Sultan Sulaiman,36,522221.2392,9942805.575
37,Point,Jalan Teuku Umar,37,512245.506,9941459.848
38,Point,Jalan Untung Suropati,38,512573.5787,9941673.385
39,Point,Jalan Yos Sudarso,39,516892.138,9944150.808
40,Point,Jembatan Mahakam,40,513037.5948,9942581.158
41,Point,Jembatan Mahulu,41,509706.2631,9938222.027
42,Point,Jl. Ringroad (Nusyirwan Ismail),42,513294.0646,9948314.241
43,Point,K.H. Mas Mansyur,43,511574.4927,9941090.42
44,Point,Samarinda-Bontang Road,44,526234.4117,9954709.072
45,Point,Samarinda Bontang Road,45,523437.1693,9950888.9
